id,num_commit,num_author,stargazers_count,age
3601879,4268,246,26060,96.0
21426700,7060,673,38114,35.0
22079330,2881,40,2064,32.0
44596913,2110,17,10681,39.0
82398812,1188,25,18256,15.0
54988286,1384,4,8685,15.0
32902832,56650,2438,6383,25.0
2344415,5040,45,5043,63.0
528,27427,376,41328,75.0
13631210,13929,97,9238,55.0
17991525,20397,2232,80973,39.0
57334313,2609,113,7758,14.0
68508,324,16,4346,69.0
4866,24605,353,2910,87.0
847,18951,504,5448,92.0
52645726,7160,137,13163,16.0
252,19912,28,2898,89.0
11076098,1741,62,2388,45.0
14280165,69,3,9845,87.0
57700650,2355,267,33527,16.0
2539527,24019,272,29037,63.0
634,27239,1460,21632,100.0
47458719,4699,45,14552,46.0
76219264,99,15,8935,16.0
23599187,12302,339,12790,46.0
59978407,228,5,8233,34.0
24203553,24527,121,5682,37.0
7090134,2585,6,10076,57.0
16606841,3515,68,2090,65.0
13576983,2744,47,12520,83.0
11013070,2367,141,4302,59.0
2254383,18106,444,15566,63.0
1554,14277,57,4987,96.0
1377549,1090,47,3033,98.0
31910301,211,51,15701,26.0
84149,19009,812,5391,37.0
20629,6463,195,20365,90.0
9706049,120114,1270,15014,47.0
39058836,500,16,6230,107.0
54276802,340,7,5300,15.0
27261269,17387,546,13063,31.0
26424942,4166,92,9555,39.0
26591,9207,329,3983,91.0
4128054,2168,22,8477,59.0
11611140,2127,84,17802,44.0
34896252,19021,956,26357,55.0
74189928,54,28,9042,30.0
1528221,32244,329,3930,65.0
961,16158,362,13770,96.0
2288120,1352,36,2960,63.0
28032966,11213,592,26715,41.0
22049697,496,70,8920,93.0
4537328,1094,77,8392,54.0
6198,7953,184,1564,88.0
12190410,5051,145,2145,61.0
12911997,865,48,23322,87.0
540,15531,546,21181,83.0
8932041,7266,240,12338,95.0
13676321,53,7,1280,68.0
3406875,32007,493,6951,60.0
15430259,15093,223,5937,112.0
15157,29191,62,1808,71.0
6705344,10113,207,14657,54.0
36713,3967,89,8129,100.0
28858802,2408,85,13752,54.0
1545591,40777,99,3219,65.0
15870,22397,531,13855,90.0
27564,19059,285,3018,73.0
1173,5276,195,34394,99.0
33839743,153,39,7613,112.0
16695030,4640,124,4478,108.0
33685085,9505,181,9568,69.0
775774,6810,65,4149,109.0
34186102,1188,71,12631,24.0
96553,5557,68,20827,73.0
20026341,566,6,1731,35.0
11494393,2888,133,8586,97.0
6690806,1275,208,13456,53.0
5219,29484,1174,37020,93.0
11632333,3458,114,36475,43.0
18170,3618,38,1390,71.0
595203,8674,305,2020,76.0
24397,4773,357,7073,84.0
340,19211,449,20719,90.0
27693,2389,111,8872,84.0
12185491,702,35,1650,43.0
9164060,876,52,8598,48.0
2705342,2551,31,8950,62.0
4304960,4731,106,6557,58.0
5472724,4126,46,1647,55.0
1996840,5040,280,25710,92.0
2389408,4014,60,3753,64.0
6613024,4411,9,2984,53.0
5160353,302,4,5611,56.0
10423929,5283,65,17915,37.0
6584,1582,86,7370,120.0
3540281,3022,11,3726,61.0
9793,22228,549,6199,96.0
10912,5261,111,4440,72.0
1529,6013,330,2306,75.0
3644,9579,389,10706,100.0
3086778,20806,64,1863,78.0
163875,8512,41,3772,79.0
11010021,363,47,16340,45.0
25822,10600,123,8152,104.0
13981,1169,34,5913,102.0
35770,4165,139,1811,112.0
1312712,10368,161,3076,66.0
3697,3975,58,3347,74.0
9122949,727,28,16220,48.0
4484156,1963,53,5030,57.0
22031851,1402,21,7689,63.0
4371013,30705,119,3614,96.0
7537545,657,22,7533,51.0
26047131,30836,495,10409,31.0
11734247,2555,365,18491,88.0
13534407,1151,11,4484,41.0
41436405,578,17,3775,44.0
28514697,5843,17,4533,53.0
6401040,7136,97,3302,53.0
20713152,792,4,1542,108.0
4100576,2803,29,1782,58.0
38829050,5055,126,3021,34.0
53564232,9077,229,3297,26.0
20337473,34909,144,4302,50.0
1394906,2456,79,8119,85.0
48219054,5919,62,8739,22.0
7691517,2775,72,5522,51.0
16351512,7267,377,34462,43.0
15627045,3177,29,1436,39.0
16778926,3986,207,17330,52.0
1372028,476,65,6258,66.0
38397,15414,73,1556,78.0
48846478,5439,100,9958,18.0
42009,520,12,11634,78.0
2888,5249,56,8295,83.0
46971728,4778,58,1551,18.0
21556740,1661,156,4040,120.0
7509659,1437,22,1445,60.0
546037,10423,69,2845,68.0
3138271,2463,11,3026,61.0
5435325,503,7,11521,55.0
901621,11378,89,2921,77.0
7859423,1630,48,1873,54.0
1001578,1500,129,3849,92.0
16356,6268,170,9852,77.0
11387,5332,315,3837,77.0
62238,36564,542,2854,108.0
1207,7216,168,2931,94.0
3720099,1722,56,17029,59.0
9861,492,33,4450,85.0
2740299,1091,43,11814,62.0
145790,493,15,1482,87.0
5118473,1834,44,2907,56.0
4680317,337,13,2457,57.0
176067,335,32,1810,71.0
4021479,193,13,4384,121.0
3142597,903,11,5706,61.0
2367496,302,32,4386,63.0
4706454,2346,284,8337,63.0
558679,1954,81,10235,68.0
27859,646,98,1999,86.0
2560,4687,215,4862,75.0
25681,960,94,1731,73.0
2812,17817,343,12282,92.0
37211426,628,56,6776,24.0
11162094,3892,91,11312,45.0
33135287,4174,108,18947,25.0
33565,412,36,4134,115.0
22044797,210,7,7338,73.0
12885,2545,181,7170,93.0
17985121,3997,51,2255,37.0
4876188,9491,237,32242,89.0
161036,1023,58,4602,69.0
7332776,9364,505,14910,58.0
6050365,1714,22,2370,54.0
5424298,4306,100,12835,61.0
23102,3214,30,2429,120.0
31943828,430,24,7369,26.0
424503,1489,45,26994,68.0
174722,10921,66,2678,69.0
8964129,3425,27,4490,49.0
1960528,1794,81,8859,64.0
3475441,5411,71,5977,61.0
3128083,770,39,10786,62.0
6848,541,46,3648,77.0
1362806,428,52,4698,82.0
6178378,4146,61,4035,59.0
29172,43,11,8069,96.0
13575,456,61,2543,102.0
48109228,2379,377,36831,27.0
18515541,1928,137,1588,36.0
54282526,7199,428,18826,26.0
12500376,829,36,7716,42.0
51066157,78,25,5858,18.0
36450777,1139,71,3669,33.0
44760076,3566,114,13689,22.0
59519048,1573,20,7318,13.0
57712080,872,5,13767,14.0
58088556,620,32,3388,13.0
3690496,2343,152,8555,59.0
20980400,671,14,1744,74.0
76259571,78,6,8828,17.0
80896235,970,185,50545,44.0
55440158,5217,24,8694,14.0
4914951,2482,65,10871,73.0
6442229,919,31,4367,85.0
73694503,359,2,1955,14.0
7228519,1741,168,9058,63.0
16477419,515,27,11441,39.0
3346024,1244,117,8997,61.0
20429,1554,273,9062,121.0
1028984,366,50,11964,79.0
13860,50275,228,16155,98.0
12258,2909,304,20190,104.0
231,1375,37,3789,85.0
5224,607,42,14718,92.0
51534949,652,51,3715,36.0
58678111,197,2,1510,13.0
22042395,1120,16,7992,36.0
50758634,1649,10,8903,102.0
44434280,550,20,7621,58.0
334,1430,70,48195,83.0
1593177,892,52,1615,65.0
6149,636,55,3792,93.0
17924077,810,28,3045,37.0
1381021,1831,56,1496,67.0
7771886,2258,24,1753,115.0
767301,379,12,8592,68.0
6395263,550,15,2778,55.0
28874799,85,18,2490,92.0
9134291,650,24,1507,48.0
16795177,821,52,10171,92.0
6400325,1508,68,1636,72.0
16827424,2953,112,6611,40.0
31499094,1477,20,9458,26.0
68142909,2188,26,7119,11.0
101209,1075,68,2793,66.0
18115030,527,30,4067,59.0
7394527,833,35,4393,51.0
13335799,395,2,9437,41.0
3254933,335,11,2604,61.0
4851809,70,11,11681,65.0
67299844,635,38,8804,10.0
4314311,6248,160,4427,58.0
39250028,1781,175,9830,87.0
15123859,229,12,4543,103.0
54136309,1327,30,11980,18.0
31152806,15699,96,8206,29.0
22070816,679,15,7420,33.0
31719,356,21,3724,80.0
7685661,209,12,3782,51.0
3569231,211,4,2039,60.0
9322184,354,21,2003,52.0
10777706,201,24,20487,74.0
663065,747,36,8905,68.0
1528515,1125,31,18231,65.0
14286406,606,12,8052,40.0
19756175,461,21,4215,36.0
45916765,836,101,3802,19.0
51300797,296,9,3458,17.0
20150840,482,20,1637,35.0
9771049,1301,42,1490,47.0
14328,350,54,16499,86.0
1267,383,49,1591,79.0
20666911,1036,36,13897,59.0
35584,297,17,3124,79.0
11475003,548,44,18440,44.0
33622159,289,23,3556,25.0
4560965,2317,356,42298,86.0
4894767,1190,14,1434,57.0
42461512,343,7,4982,21.0
18043005,661,50,8307,51.0
2547593,274,9,20038,74.0
45313,819,17,7825,97.0
832359,783,52,1905,106.0
17147581,596,66,7027,65.0
28285259,2049,38,16806,29.0
57364078,116,13,3590,68.0
977,1516,18,7861,88.0
11443386,390,7,1861,44.0
29514774,1129,62,17916,29.0
46083313,1248,8,10556,51.0
25813988,1169,8,17239,44.0
22048045,454,11,9431,80.0
18004957,1851,198,15832,38.0
1438441,2282,172,4881,77.0
84036160,658,11,5487,22.0
46434741,359,5,4136,31.0
14703847,223,6,1820,40.0
21971963,841,17,9679,34.0
7345298,1609,84,6910,70.0
22051004,186,22,2836,34.0
13752290,455,18,11127,40.0
5062667,1637,94,9623,56.0
3532384,3633,138,8006,60.0
36775079,1362,149,18788,28.0
51689139,809,4,3381,47.0
7751311,277,35,9298,89.0
21470320,450,11,5571,51.0
13447331,1726,87,5595,41.0
13770884,899,31,7443,41.0
10947670,197,8,2609,104.0
4772476,324,9,2270,57.0
5134892,750,56,3493,78.0
1340597,168,27,11146,69.0
19807770,860,79,1457,35.0
31810056,3025,263,57508,26.0
8922876,1926,125,2966,50.0
2254769,5581,142,10121,64.0
4885,7411,96,2540,69.0
34741,388,10,6769,72.0
22224104,195,3,10648,33.0
3434493,2752,101,5412,60.0
21447351,143,10,3498,34.0
33145,1613,111,3134,116.0
1972576,782,14,14501,75.0
12972529,349,7,2857,43.0
13021,1787,123,3475,96.0
37191795,638,39,6767,30.0
86538111,160,15,11838,77.0
4794575,2425,41,2772,57.0
27392494,424,19,7303,30.0
6844808,159,6,1455,52.0
59514446,134,4,4910,13.0
42087658,107,14,5590,117.0
18109036,187,31,2323,84.0
22044857,183,19,1582,98.0
3608201,373,15,5308,60.0
62672212,82,11,2165,24.0
16513025,348,20,4717,38.0
118,129,25,6308,102.0
55564117,186,79,23470,38.0
5627614,654,45,1918,93.0
801441,7207,115,5710,68.0
168,510,47,4636,102.0
27439,3944,60,1373,112.0
210772,51,8,2952,88.0
1394747,706,45,1997,69.0
34324819,88,9,4522,24.0
6569,107,25,1798,100.0
10088002,1012,36,12120,92.0
17094383,410,11,7313,77.0
68556154,219,2,3177,9.0
20068777,331,34,11839,35.0
16986497,4544,11,2410,37.0
11087,101,17,1752,85.0
11124,372,51,4551,122.0
12577,251,29,1971,99.0
21420256,438,24,11454,34.0
9098258,366,43,20324,79.0
11097989,2169,51,5613,60.0
63917255,2412,82,13782,30.0
47557792,81,19,11773,74.0
11620775,7531,124,14781,58.0
42310035,963,78,14393,23.0
18085,740,45,1434,91.0
11140376,2747,133,21488,55.0
26322,655,43,3581,111.0
44042482,166,14,2664,48.0
17692055,580,29,13757,37.0
22074901,179,21,1840,33.0
1498950,155,14,5258,74.0
28784137,758,23,2876,29.0
39547679,507,83,6906,22.0
22214017,491,16,9840,36.0
32173380,417,19,2527,26.0
35017569,33,9,13622,25.0
38428161,86,6,3596,97.0
75885717,31,7,9243,17.0
78589463,710,93,33072,8.0
40450744,103,10,15801,54.0
20320397,1203,44,1482,35.0
9178939,197,6,8953,48.0
173433,569,45,4661,96.0
67057246,2132,58,4072,11.0
171390,2530,48,6350,99.0
18496435,50,10,1250,77.0
20839830,1954,56,6232,34.0
14999882,444,34,7313,63.0
13511499,1281,22,7914,78.0
41966326,87,14,1369,29.0
10657480,592,57,8511,47.0
3746639,524,42,8383,117.0
4391700,752,68,27152,58.0
67684036,179,51,3844,76.0
2055,4070,15,3482,65.0
28391228,111,2,13262,45.0
21450415,1389,34,5019,121.0
5507363,2461,114,18577,56.0
53573121,1761,18,1854,46.0
19616,305,38,2079,121.0
17298122,246,49,2560,53.0
86395247,87,34,71588,21.0
78674840,5672,24,12094,11.0
7566853,622,46,2498,63.0
33357597,771,97,8211,26.0
61168739,567,90,15357,86.0
24949218,551,15,1586,31.0
71744345,760,57,3848,9.0
1911,4209,59,6833,78.0
13754421,2218,16,6514,40.0
5245,2700,65,4200,123.0
3777512,3578,47,1234,66.0
2752178,825,35,4694,58.0
59607953,51,9,3114,19.0
71726002,81,12,6357,8.0
35380430,755,17,5012,46.0
26340507,2052,72,19683,42.0
27992409,53,3,1579,60.0
71772092,1312,34,16055,8.0
172718,263,5,2945,62.0
3449842,452,12,2912,60.0
71812389,7431,41,2935,22.0
30409737,573,46,9438,27.0
18825,533,40,3588,85.0
19388,833,5,40598,72.0
4761503,622,6,3028,60.0
9986737,136,6,12120,47.0
12607152,430,14,22624,42.0
15816138,196,8,7795,38.0
28904919,7849,39,10687,29.0
38334643,913,12,7885,30.0
68393781,206,32,2601,9.0
64630684,2180,24,8214,24.0
21847993,548,3,3519,34.0
390637,383,9,3796,84.0
2841644,535,15,4246,64.0
8913939,1257,21,4293,49.0
2802308,333,10,3854,63.0
79345133,181,23,4929,6.0
14292770,126,13,6764,42.0
97069,246,18,2662,74.0
4998659,463,34,5947,56.0
15977326,193,29,3050,38.0
21114423,3389,50,7272,34.0
30006369,138,9,7340,28.0
19756072,200,4,1489,36.0
16880875,197,4,1421,38.0
30114486,288,3,8231,28.0
280617,371,15,3527,73.0
60972400,74,6,4668,12.0
23238531,1203,30,14867,51.0
12712713,181,6,10545,42.0
70597953,23,3,3391,9.0
35457496,178,7,8953,26.0
79727042,881,12,7035,5.0
84829099,19,4,3102,27.0
75881125,751,7,13451,6.0
21244239,573,2,5036,34.0
77558722,21,10,4493,77.0
34587715,153,2,1848,25.0
88478305,177,2,3055,38.0
8970646,95,1,11137,49.0
50864156,179,5,6439,17.0
4315585,346,4,1577,58.0
48740334,475,4,2950,58.0
41240050,362,3,4549,25.0
50634611,9,3,10300,17.0
60798018,1310,18,7566,13.0
22198050,1375,27,9762,102.0
75598,1624,78,5082,92.0
20078281,39524,1616,64262,41.0
25866253,1162,83,7476,94.0
24136388,2688,124,4339,32.0
9286541,2597,320,23472,52.0
29123233,6107,29,8970,95.0
44686,9544,310,1696,106.0
853,27383,413,18193,80.0
4952331,2534,164,3860,76.0
2265342,23232,205,2842,64.0
82978407,420,101,44104,37.0
63852919,1941,52,4823,11.0
74026845,3044,28,6557,11.0
30215691,4009,43,1894,28.0
9678863,4526,663,27481,52.0
6026,38536,1163,22000,79.0
13066443,3321,237,33730,47.0
72275307,615,123,53926,11.0
1842,4385,280,3332,75.0
3905191,13869,1028,136126,59.0
6488172,8628,47,7626,55.0
14718721,968,52,20167,39.0
8459142,6729,39,4930,61.0
20796,19449,138,3320,73.0
33982207,13382,37,3754,26.0
20786,18342,607,1829,73.0
32547590,955,160,16530,26.0
13025326,1076,19,3183,54.0
7149279,957,133,31433,58.0
19003934,1154,31,6853,36.0
24303626,1137,152,8461,32.0
26281575,1072,32,3190,39.0
2989453,6658,481,19862,94.0
1799,21777,294,8911,81.0
7197777,9433,228,9142,52.0
9384,7200,94,4001,80.0
10192058,2355,130,16249,52.0
18521760,1027,25,46801,36.0
14098,16640,529,10992,70.0
8304,15206,332,5410,108.0
21533496,5481,97,2715,38.0
17302013,9089,180,10526,90.0
10679,2894,84,4295,79.0
5874,1022,116,7938,94.0
13340004,4855,109,8043,72.0
5457791,1301,22,2997,55.0
26666,1846,138,1929,91.0
78029,4492,48,4009,74.0
3201792,3288,26,2809,61.0
13382901,265,48,5024,67.0
1331862,4035,121,3790,66.0
87033,1481,45,4468,72.0
1334,57527,2717,44087,121.0
9511697,1635,33,28486,48.0
62315,1021,47,4793,76.0
392,17900,241,30181,77.0
3086437,2107,170,10890,79.0
7562315,514,46,3087,53.0
18351,826,29,4854,77.0
7562587,1433,34,5008,71.0
731872,2791,21,3072,68.0
2306335,1398,23,1516,69.0
11432122,1390,9,2724,58.0
29986857,3504,174,10451,31.0
143612,5511,213,50951,74.0
1565,2431,138,4129,101.0
13748326,4106,46,1730,40.0
24295456,974,42,9139,32.0
53393562,1528,92,13935,38.0
7040,1475,43,1518,123.0
11428873,1129,73,8410,56.0
15192129,652,10,2476,87.0
53728982,1227,9,1549,15.0
6301,1428,167,8223,88.0
2922319,2330,22,19221,78.0
48481687,3064,8,7487,18.0
6103078,10852,372,1608,54.0
22094578,598,12,3323,33.0
37,15098,1813,59609,100.0
8310,1301,41,2589,89.0
6313,6399,335,52168,109.0
4376708,804,71,27537,91.0
24300,1018,53,1217,73.0
123640,1714,76,1634,85.0
52321,645,12,7051,93.0
7921108,3387,48,4804,50.0
21959,762,37,9956,74.0
2705,681,95,3115,114.0
29527,1066,109,3058,98.0
23353085,2122,94,7971,32.0
36507912,5112,127,25621,41.0
32119880,2125,58,1732,64.0
1961397,1411,36,9183,74.0
2490152,443,40,1341,66.0
3266636,594,35,8106,61.0
35953028,261,20,8496,57.0
23721930,1327,43,12381,32.0
35109040,1298,29,12690,24.0
22105376,1191,90,10422,34.0
85205,2813,37,1362,78.0
15149419,709,19,2566,39.0
43064597,111,2,11218,30.0
10804719,1090,72,10999,45.0
22059941,973,39,7884,43.0
1055,306,3,16271,79.0
10659,427,19,1612,106.0
7403952,141,8,4886,51.0
26479,733,10,1564,91.0
2968,3066,249,10693,112.0
212107,733,53,3825,123.0
2093,7159,485,4231,108.0
1742,209,22,8639,105.0
314458,496,12,1553,84.0
31227,361,10,21599,69.0
22535743,392,20,2511,79.0
3081764,320,35,10155,97.0
53476352,443,70,18855,28.0
18722109,2133,40,2450,36.0
1457727,888,42,7638,65.0
11537087,3351,175,4841,44.0
58873067,600,6,1411,16.0
26896450,1132,8,1453,30.0
17647452,589,35,2969,37.0
19181,5329,379,1744,89.0
4957133,1980,49,1453,57.0
31241874,841,39,5068,57.0
8478942,837,46,11738,49.0
13564662,407,9,2015,41.0
11985517,384,17,8999,43.0
8401700,319,25,7850,50.0
11366120,492,10,1863,44.0
88376643,91,13,9286,4.0
54586698,278,44,11722,15.0
48849309,332,38,6910,18.0
62425968,265,31,3412,51.0
18523557,2164,35,2283,41.0
76012181,74,6,64490,44.0
2249947,1784,138,10480,64.0
20414,177,25,3334,95.0
22054549,215,8,1511,33.0
11808128,157,17,9829,58.0
66594470,246,35,4671,20.0
1043143,2648,468,14707,67.0
2984141,965,49,1510,62.0
1369530,806,18,1969,66.0
24739937,546,1,4217,32.0
20830713,1417,30,11583,34.0
41390,997,23,1448,76.0
19706494,399,13,1537,79.0
23366226,501,10,1589,32.0
21577612,831,29,11802,34.0
1350219,3712,60,4250,66.0
8806873,909,8,3139,73.0
30166152,117,16,7801,28.0
24887,362,10,1541,110.0
60972227,194,3,3142,12.0
30164069,552,17,4864,47.0
18926351,231,16,2705,82.0
19624216,3688,127,3344,35.0
22074974,135,19,1360,35.0
50337635,2249,46,22240,17.0
2982299,220,15,1899,62.0
32414317,4710,134,6763,65.0
52171617,84,3,2273,60.0
16325402,79,4,6328,38.0
8530710,928,54,7120,86.0
29523,753,48,2967,78.0
57807606,104,17,15184,13.0
22045611,2203,235,11883,32.0
3217567,541,53,8592,105.0
1526285,1430,44,4545,99.0
49594827,384,12,2385,17.0
29110818,308,31,10776,44.0
7845,1108,72,14501,85.0
2615807,601,26,2593,68.0
2717829,597,53,15825,62.0
15833,838,13,1688,110.0
16401190,4500,63,4725,38.0
16259368,377,40,3287,38.0
22101807,193,8,3968,32.0
3950802,266,26,2857,63.0
9365440,129,17,1426,48.0
1825768,396,75,7307,80.0
77077371,478,32,1332,7.0
8743391,707,79,7570,53.0
78691028,126,3,3532,5.0
17589,2344,177,2687,89.0
21941613,641,51,7927,34.0
33357857,404,39,2946,25.0
88769478,138,5,20453,81.0
32392963,197,14,12890,26.0
51909331,131,13,12382,16.0
34076289,202,11,1293,35.0
29253,6726,52,4506,74.0
3045,475,89,9231,109.0
10972,332,32,4982,118.0
73799,37,9,1468,75.0
42786057,313,29,1870,46.0
948188,1214,109,8194,69.0
6193207,485,59,17649,65.0
4376706,1089,94,24853,103.0
8514,221,28,10384,117.0
30839384,7384,82,3409,39.0
12187659,869,37,6092,43.0
12665,3653,34,3133,116.0
7183,440,34,8783,84.0
43508115,174,28,13393,20.0
22045242,1494,60,2829,36.0
15915189,859,83,14021,88.0
6233597,161,25,7278,60.0
22184029,151,44,5568,75.0
12310191,620,17,9544,114.0
20930939,1309,69,9452,84.0
2343159,308,10,3243,67.0
38823,2306,43,2967,82.0
86418598,72,12,21780,6.0
78012808,30,10,6604,120.0
46892895,60,5,3629,18.0
10518218,480,13,7969,46.0
4485960,867,36,1680,57.0
63935655,1203,45,10831,24.0
15333,192,47,2561,73.0
11627611,2874,36,1271,120.0
32028693,126,14,3090,78.0
31963347,593,7,9163,26.0
26511268,1221,68,4319,30.0
66569476,801,23,4081,19.0
73767872,240,5,10172,26.0
10522554,278,8,2218,46.0
7238362,338,29,2532,64.0
1356204,1033,38,6506,66.0
59883260,251,44,6506,14.0
80766267,132,6,16444,47.0
4003838,3808,72,30382,59.0
5292696,398,28,1665,101.0
13708387,5482,152,6983,40.0
6321708,713,21,2771,50.0
65005334,10,3,7038,34.0
82886115,137,14,1897,97.0
4634799,48,9,3482,57.0
12666384,5490,43,8660,44.0
76296099,417,10,6520,32.0
56059685,3418,21,1868,14.0
24956596,1067,28,10175,74.0
22100926,3531,31,3811,38.0
185592,6145,39,3394,96.0
68355094,46,7,7392,9.0
41162077,1572,20,1307,50.0
8765,203,22,5227,70.0
200146,398,22,4533,76.0
61075,572,16,9336,70.0
8958703,418,37,2535,78.0
19806,136,11,7446,78.0
16750977,245,10,3269,50.0
77555720,78,8,1676,37.0
8613475,331,9,1392,49.0
4045081,394,17,2667,59.0
25932,923,6,1262,121.0
42922792,52,6,7125,21.0
31215830,1468,9,9262,27.0
67018911,90,7,15187,80.0
61810838,112,8,6113,13.0
38963210,221,2,2972,34.0
15880340,910,15,10822,54.0
16205687,143,6,6818,95.0
22045096,84,6,1812,33.0
13566846,181,7,11193,41.0
34759827,123,3,2977,29.0
50158135,115,2,1416,24.0
27441554,482,4,8402,30.0
55828128,100,4,3940,14.0
17302594,33699,738,44138,99.0
24444,36756,1074,4445,75.0
20364539,2865,39,16493,35.0
85244462,1016,17,12059,85.0
5603,31404,627,24844,83.0
10425739,5064,123,13933,46.0
87834605,636,8,2114,4.0
33173036,7221,139,1505,28.0
45297,11126,552,13565,81.0
45696853,1184,213,37605,47.0
7212462,4372,38,4571,92.0
100924,2663,35,14163,77.0
7343378,436,5,1212,51.0
3516,14202,292,9956,92.0
16477707,1771,47,7088,39.0
33417001,2094,15,16977,25.0
17317680,984,82,1634,60.0
5402577,3094,154,7350,88.0
5889,4409,73,3928,97.0
4234,1135,95,11194,111.0
16639,356,36,2939,109.0
2784,2652,19,1761,74.0
3996688,446,32,3304,59.0
4234273,1176,48,16140,99.0
6611508,5005,60,46383,61.0
21416,3919,354,1872,90.0
5210,4414,113,34279,69.0
683351,4762,192,7148,77.0
3231545,1423,60,7992,61.0
22341041,560,12,8013,33.0
50966415,120,3,9086,21.0
53234827,709,35,3783,16.0
28857969,1661,38,4736,29.0
29964615,915,36,1527,28.0
33435155,1236,26,1713,37.0
12151641,1015,26,2239,43.0
18156305,600,21,5439,44.0
14897549,3086,56,9300,42.0
27607558,616,4,2158,38.0
18893127,2565,8,8919,36.0
56659,1936,58,3112,87.0
5282855,3613,84,8354,56.0
8116418,631,7,9079,50.0
7528,587,47,5233,83.0
40412,666,21,4178,86.0
10505,1612,149,6118,101.0
43029,486,35,1851,73.0
857627,647,32,7105,69.0
17904496,3519,36,19424,97.0
608,1322,119,4019,93.0
33470650,1394,25,4231,64.0
61601666,1492,63,16732,26.0
23569,2737,41,5496,92.0
32136,1386,64,18702,77.0
15478,48,10,3040,110.0
15841,1040,96,7459,101.0
147,987,25,7247,86.0
61756786,243,24,7882,12.0
16166,1395,47,5797,93.0
36699739,826,10,2996,66.0
37561753,1507,18,1551,23.0
62684148,2037,172,6232,14.0
17987132,1194,56,1346,37.0
76225898,285,14,2339,68.0
11680844,560,16,1534,44.0
62626319,105,23,10144,12.0
74470593,381,8,3883,11.0
8717081,447,46,2932,92.0
9670345,992,155,3264,47.0
15751000,482,9,3368,107.0
13403602,2560,18,1287,41.0
31886267,835,7,1951,60.0
14660968,443,30,8720,40.0
3747964,620,52,12460,94.0
58267931,332,9,9806,13.0
16686773,188,14,2472,41.0
15500909,630,12,4658,39.0
55910400,99,35,9535,96.0
34183961,159,21,6812,48.0
60349,152,8,2251,76.0
2038,257,7,1310,75.0
76935877,82,7,1360,6.0
23560871,291,17,16601,35.0
74738109,70,2,1549,7.0
